Offspring.Acc,Mother.Acc,Father.Acc,Mother.ID,Father.ID,Mass,RMR,MMR,AAS,CTM,RMR.MS,MMR.MS,AAS.MS,Parent.group,Tank,Tank.Box,Family
1,2,1,2,4,3.22,0.58965876,1.63818456,1.314931728,29.1,183.1238,508.753,408.3639,3,3,3D,14
1,2,1,2,3,3.62,0.86009868,1.54832328,0.7246386,28.8,237.5963,427.7136,200.1764,3,2,2B,10
1,2,1,1,3,2.26,,0.599609448,0.350692728,28.7,,265.3139,155.1738,3,2,2B,9
1,2,1,1,3,3.02,0.239397948,1.1966238,0.957225852,28.7,79.27084,396.233,316.96216,3,2,2B,9
1,2,1,1,3,3.46,,1.40159928,,28.8,,405.0865,,3,2,2B,9
1,2,1,2,3,2.57,0.660240504,0.76910526,0.462711942,28.8,256.9029,299.2628,198.6225,3,2,2B,10
1,2,1,1,3,2.83,0.427570566,1.60751286,1.185879756,28.7,151.085,568.0258,419.0388,3,2,2B,9
1,2,1,1,3,3.1,0.5331906,1.4218416,1.03025004,28.7,171.997,458.6586,332.3387,3,2,2B,9
1,2,1,2,3,5.21,0.94370562,1.25995122,,28.7,181.1335,241.8333,,3,2,2B,10
1,2,1,2,3,3.72,0.717783552,1.5972576,,28.7,192.9526,429.3703,,3,2,2B,10
1,2,1,1,3,3.95,,1.0734714,0.55227852,28.8,,271.7649,157.6898,3,2,2B,9
1,2,1,2,3,4.15,0.9556818,1.7242878,1.14304764,29,230.2848,415.491,275.4331,3,2,2B,10
1,2,1,2,3,3.76,0.88092984,1.26865536,0.977170152,28.7,234.2899,337.4083,259.88564,3,2,2B,10
1,2,1,1,3,2.15,,0.7393113,0.43282512,28.8,,343.8657,214.2047,3,2,2B,9
